Category,Subcategory
Relative,"aunt,uncle,father,mother,brother,sister,cousin,grandmother,grandfather,nephew,niece,husband,son,daughter,wife,grandmom,grandpop"
Metal,"iron,copper,steel,gold,aluminum,silver,tin,zinc,brass,lead,bronze,magnesium,platinum,nickel,sodium,mercury,potassium,manganese,uranium,tungsten,cobalt,titanium,chromium,ore,cadmium,lithium"
Animal,"dog,cat,horse,cow,lion,tiger,elephant,pig,bear,mouse,rat,deer,sheep,giraffe,goat,zebra,squirrel,wolf,donkey,rabbit,leopard,mule,fox,bull,buffalo,moose,rhinoceros,camel,antelope,hippopotamus,lamb,monkey,raccoon,panther,llama,skunk,cheetah,jaguar,beaver,gazelle,turtle,elk"
Color,"blue,red,green,yellow,orange,black,purple,white,pink,brown,violet,gray,turquoise,gold,indigo,maroon,chartreuse,tan,lavender,beige,silver,aqua,magenta,olive,rose,mauve"
Furniture,"chair,table,bed,sofa,desk,lamp,couch,dresser,television,stool,bureau,rug,bookcase,cabinet,chest,piano,footstool,buffet,radio,stereo,hi-fi,picture,davenport,bench,divan,hassock,lounge,mirror,refrigerator,rocker,stove"
Fruit,"apple,orange,pear,banana,peach,grape,cherry,plum,grapefruit,lemon,tangerine,apricot,pineapple,lime,tomato,strawberry,watermelon,prunes,cantalope,raspberry,pomegranate,blueberry,mango,avocado,fig,raisin,coconut,nectarine,berry,melon,kumquat"
Weapon,"knife,gun,rifle,bomb,club,sword,pistol,rope,cannon,spear,fists,stick,tank,poison,missile,bayonet,chain,whip,hammer,rock,arrow,stone,bazooka,glass,slingshot,blackjack,revolver,shotgun,pipe,A-bomb,airplane,bow,dagger,gas,foot,hatchet,mortar,scissors,lance,switchblade"
Country,"France,USA,Russia,England,Germany,Canada,Italy,Spain,Mexico,China,Japan,Sweden,Brazil,Switzerland,Ireland,Australia,Norway,India,Argentina,Denmark,Greece,Poland,Israel,Africa,Austria,Scotland,Belgium,Cuba,Portugal,Egypt,Finland,Turkey,Britain,Venezuela,Iran,Iraq,Holland,Bolivia,Peru,Iceland,Yugoslavia,Chile,Rumania,Hungary,Colombia"
Crime,"murder,rape,robbery,theft,assault,stealing,arson,burglary,kidnapping,larceny,embezzling,adultery,killing,battery, felony,speeding,forgery,treason,fraud,suicide,perjury,manslaughter,blackmail,homicide,lying,bigamy,cheating,beating,extortion"
Profession,"doctor,lawyer,teacher,dentist,engineer,professor,carpenter,salesman,nurse,psychologist,plumber,accountant,businessman,scientist,clerk,farmer,laborer,policeman,chemist,merchant,banker,physicist,executive,fireman,manager,electrician,judge,mechanic,secretary,bricklayer,mathematician,architect,pharmacist,president,miniter,writer,janitor,reverend,artist,baker,psychiatristsenator,grocer,sailor,mailman"
Sport,"football,baseball,basketball,tennis,swimming,soccer,golf,hockey,track,lacrosse,badminton,bowling,wrestling,volleyball,archery,skiing,fencing,softball,fishing,handball,polo,boxing,Rugby,hunting,gymnastics,racing,sailing,boating,pool,squash,diving,judo,surfing"
Bird,"robin,sparrow,cardinal,eagle,crow,bluebird,canary,parrakeet,hawk,blackbird,wren,oriole,parrot,pigeon,hummingbird,starling,woodpecker,vulture,swallow,chicken,dove,duck,owl,redbird,thrush,falcon,jay,pheasant,finch,mockingbird,buzzard,ostrich,flamingo,lark,peacock,turkey,penguin,raven,swan,crane,geese,chickadee,pelican,stork,warbler"
